date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,respiratory_admissions,AirQuality_Status
2020-01-04,98.7,61.22983221,77.52215274,33.88,24.1,0.81,29.98,21.8,89.0,5.8,11,good
2020-01-05,120.6,71.89763532,92.29889278,53.58,17.98,1.47,21.69,28.9,47.8,6.7,9,good
2020-01-05,101.8,33.71434357,57.62953032,35.03,19.82,0.63,35.11,25.2,81.4,1.7,5,poor
2020-01-05,95.3,68.34829687,75.71699379,38.45,20.08,0.78,36.0,26.9,34.9,1.2,8,good
2020-01-05,88.4,51.29975501,122.2259267,37.32,21.3,0.76,22.97,35.1,53.9,4.5,12,poor
2020-01-05,103.8,32.30140428,82.15398898,36.54,14.35,0.7,43.77,21.1,87.7,5.4,6,good
2020-01-06,86.8,53.5701821,99.96435312,48.5,18.87,1.01,27.81,19.7,68.8,10.6,10,good
2020-01-06,105.0,47.08906255,92.85710988,40.74,18.58,0.94,28.6,22.3,43.8,14.9,10,good
2020-01-06,111.8,42.65376275,62.78869192,32.91,26.59,0.76,44.56,26.3,53.7,3.5,16,poor
2020-01-06,95.3,39.96777646,96.74308973,28.44,20.9,0.75,27.81,26.9,36.1,14.6,9,hazardous
2020-01-06,109.5,58.16914302,90.19366154,38.56,19.08,1.46,24.34,19.9,83.5,3.2,12,good
2020-01-07,108.5,75.44160834,92.87337506,20.87,20.69,1.35,31.38,30.0,28.5,7.7,6,good
2020-01-07,97.7,70.08584006,52.97419195,64.4,22.64,0.98,24.17,20.7,58.0,9.8,12,poor
2020-01-07,133.4,72.75118999,73.53915262,31.81,22.87,1.01,37.41,22.9,26.2,3.4,11,poor
2020-01-07,105.1,53.13227421,96.23411143,44.19,16.15,1.13,32.83,34.2,58.2,1.5,15,poor
2020-01-07,131.6,67.29054434,73.57681923,37.97,23.05,1.37,16.23,29.8,62.0,14.0,8,poor
2020-01-08,104.3,62.49983726,73.99742426,43.01,23.02,0.73,21.26,19.6,58.7,14.7,10,poor
2020-01-08,119.7,57.60956652,86.63836895,35.03,16.85,1.09,10.57,27.5,67.7,2.2,10,moderate
2020-01-08,107.9,66.26521128,72.65525998,51.58,20.29,0.54,37.62,23.5,76.2,9.6,12,moderate
2020-01-08,100.4,54.9465731,121.5468688,57.77,17.79,1.48,39.96,22.0,54.0,13.8,14,good
2020-01-08,115.3,36.79044017,48.28748586,49.8,19.82,0.86,22.14,20.4,60.4,14.0,13,moderate
2020-01-09,87.2,47.30348548,124.1293796,44.84,20.5,1.24,11.24,24.5,77.2,1.4,7,good
2020-01-09,133.3,54.44125856,138.7081241,49.23,31.37,1.02,43.14,27.6,26.6,2.5,15,moderate
2020-01-09,76.1,61.61166562,71.57286384,52.24,23.2,0.92,39.63,22.4,53.7,5.8,11,poor
2020-01-09,131.6,77.71484858,59.91324347,33.89,11.7,1.63,36.83,28.9,68.0,7.3,8,moderate
2020-01-09,90.6,76.24036581,102.8013569,43.05,18.16,0.62,26.56,23.4,40.3,13.2,8,poor
2020-01-10,119.7,66.04911845,82.5364937,31.68,20.44,0.86,37.22,24.7,68.1,5.9,7,poor
2020-01-10,110.9,52.93313022,63.25819733,51.48,17.96,0.85,40.95,35.2,34.5,9.9,11,poor
2020-01-10,120.3,39.77929332,59.4415247,44.06,24.7,0.2,30.35,16.7,64.2,3.0,16,good
2020-01-10,109.8,73.88508314,81.59299165,39.58,19.06,1.01,25.91,20.4,60.1,10.3,9,poor
2020-01-10,108.9,65.81057221,92.4269348,49.49,22.26,1.08,34.27,22.7,77.5,2.6,8,poor
2020-01-11,117.4,45.49947164,72.67316646,35.08,32.18,0.65,28.34,26.6,75.3,3.7,13,good
2020-01-11,136.1,55.03837656,3.266889031,49.07,13.0,1.08,26.9,21.3,29.3,10.1,7,moderate
2020-01-11,90.7,58.59545717,78.82559146,43.42,16.94,0.9,37.21,26.1,73.5,3.3,8,good
2020-01-11,123.9,64.84778224,98.96285901,45.24,23.77,1.54,21.78,12.8,77.7,13.3,6,hazardous
2020-01-11,63.2,49.27978985,45.78793291,31.86,12.25,0.58,19.66,29.0,81.5,6.3,13,moderate
2020-01-12,96.2,52.3475878,104.7366493,25.48,20.91,1.0,27.31,24.4,32.0,14.3,12,moderate
2020-01-12,90.7,79.88694971,88.93073014,27.02,23.94,1.47,42.99,24.1,85.5,0.7,7,moderate
2020-01-12,87.8,79.2572529,73.88091137,40.93,9.88,1.12,28.89,24.5,42.2,13.1,9,moderate
2020-01-12,90.9,48.05903793,83.53524207,61.77,13.32,0.97,36.13,25.8,21.7,14.8,14,moderate
2020-01-12,74.4,67.81919858,72.13819599,28.35,27.52,1.03,21.86,27.5,32.5,9.4,12,good
2020-01-13,82.2,61.54376086,80.4470111,36.01,19.57,1.27,6.28,27.2,86.1,3.8,13,hazardous
2020-01-13,114.4,62.24184134,69.19247322,33.35,13.36,0.69,28.61,26.9,80.5,5.6,14,poor
2020-01-13,97.3,79.42478377,55.27043427,35.03,12.23,1.19,16.79,24.3,20.3,12.9,13,moderate
2020-01-13,104.8,40.69254647,83.99220837,14.79,16.77,1.28,43.23,20.3,23.7,1.5,11,good
2020-01-13,87.5,64.82517812,48.64023469,25.4,25.97,1.18,37.93,33.1,71.6,9.4,10,good
2020-01-14,119.1,25.28933901,60.26681945,49.07,29.71,1.01,40.62,23.7,24.9,0.4,8,good
2020-01-14,100.5,62.52089709,50.1507546,41.88,18.59,1.09,34.81,23.4,21.8,0.0,10,moderate
2020-01-14,61.7,39.04322722,101.883591,41.49,24.23,1.34,25.72,27.5,29.3,4.9,13,good
2020-01-14,74.1,71.56125314,63.97032156,38.79,20.83,1.01,41.58,12.1,56.9,4.6,10,hazardous
2020-01-14,100.3,68.16330529,105.4888046,30.47,25.02,1.35,33.32,27.4,83.8,5.9,16,poor
2020-01-15,110.4,45.07277277,59.97370692,45.72,21.53,0.73,41.09,20.1,84.8,13.8,11,poor
2020-01-15,117.5,85.10162828,92.53754127,36.24,25.52,1.15,28.74,22.6,53.3,7.7,13,good
2020-01-15,65.5,51.2460101,89.58006287,37.86,20.09,1.25,28.49,30.2,65.0,7.6,11,good
2020-01-15,80.9,95.72570298,72.0310945,53.66,26.87,0.6,35.39,25.1,69.4,2.6,10,good
2020-01-15,84.3,72.68704309,78.09317818,43.63,12.47,0.71,28.65,22.4,73.2,0.9,15,good
2020-01-16,109.4,72.40854161,71.06713906,39.54,18.59,0.96,37.66,21.3,46.1,4.0,16,poor
2020-01-16,85.5,57.27745257,61.55622189,46.51,19.93,1.28,24.54,21.6,88.8,12.3,12,moderate
2020-01-16,129.5,66.62620105,79.02468696,42.61,17.43,0.74,31.13,20.9,84.4,5.7,5,hazardous
2020-01-16,88.8,75.57568277,62.77380841,30.23,17.39,1.28,26.71,29.4,76.3,14.9,10,moderate
2020-01-16,113.0,67.71093829,114.6064363,28.26,22.01,0.95,29.68,21.1,27.5,1.6,9,moderate
2020-01-17,103.7,27.3440243,60.90763796,38.82,29.86,1.44,32.37,22.5,44.8,14.5,6,poor
2020-01-17,97.6,53.08245402,35.08828205,30.06,18.24,1.73,39.63,25.0,69.1,4.1,17,good
2020-01-17,79.7,37.20980887,123.5712435,22.99,23.09,0.79,24.63,23.7,75.4,6.5,7,good
2020-01-17,129.7,77.3975995,92.2453962,44.5,14.14,1.49,30.38,32.0,57.3,7.5,11,good
2020-01-17,87.9,78.40551896,60.22941984,47.92,21.03,1.45,27.44,17.9,54.1,3.9,10,good
2020-01-18,84.9,62.67714996,90.36437901,28.43,16.02,1.28,33.41,19.4,27.5,5.4,11,moderate
2020-01-18,108.4,71.34847012,83.90806443,51.53,15.02,0.98,26.34,16.9,21.4,3.3,7,poor
2020-01-18,107.1,52.41050702,48.81128442,34.1,19.37,1.25,18.81,39.7,88.4,12.6,3,poor
2020-01-18,95.4,36.29094089,124.8185311,34.28,19.99,1.17,41.17,19.4,24.5,9.5,3,moderate
2020-01-18,106.3,17.51766603,83.88666927,32.65,16.36,0.94,15.27,26.8,70.4,7.9,12,poor
2020-01-19,82.3,39.08257397,118.3721267,59.01,21.75,1.33,27.98,25.7,21.9,13.1,5,hazardous
2020-01-19,67.2,78.66847741,89.52860333,33.59,16.26,1.31,21.51,23.2,36.0,5.5,11,good
2020-01-19,87.8,81.43286562,69.87621878,33.18,20.73,1.3,35.56,31.5,66.1,10.0,7,good
2020-01-19,93.7,44.61197841,58.44558508,44.87,15.84,0.72,13.36,23.2,43.1,4.3,11,moderate
2020-01-19,81.8,53.23261712,77.05319547,38.06,23.19,0.7,29.88,33.4,82.1,10.4,9,moderate
2020-01-20,71.9,37.88801802,76.4097085,51.52,17.86,0.83,39.02,31.6,22.1,2.5,15,good
2020-01-20,91.3,75.80837328,72.93471729,43.93,21.01,1.29,30.18,15.7,56.8,14.8,15,hazardous
2020-01-20,92.2,93.47248367,76.93478893,56.59,19.63,1.11,41.8,17.0,60.5,6.0,14,moderate
2020-01-20,100.0,60.93497024,86.86317108,56.77,22.97,0.98,17.76,16.4,67.2,2.4,15,hazardous
2020-01-20,71.8,68.276112,99.27850846,46.66,21.06,0.94,19.72,30.4,35.2,2.7,10,poor
2020-01-21,81.5,51.2110849,97.88465549,35.15,12.83,1.32,24.26,24.0,53.8,12.3,14,good
2020-01-21,114.4,42.0821559,75.49013153,51.06,30.55,0.56,15.28,30.6,26.7,12.3,6,moderate
2020-01-21,119.9,40.18682467,108.3040905,49.85,18.6,1.25,33.17,18.1,26.2,0.3,9,moderate
2020-01-21,75.0,61.60754873,92.45888061,49.96,19.26,0.75,32.88,25.6,32.1,4.1,12,moderate
2020-01-21,129.3,78.00392625,84.98901892,41.89,17.02,1.21,29.73,21.1,27.5,14.0,12,moderate
2020-01-22,95.5,53.05257957,87.98456386,56.08,22.64,1.04,46.93,12.3,63.1,7.9,5,good
2020-01-22,92.5,64.2870493,85.91023383,37.54,16.88,1.09,27.87,28.4,87.5,10.9,11,good
2020-01-22,73.0,64.93660168,64.6735495,41.43,30.96,1.04,29.09,23.0,39.0,2.4,10,moderate
2020-01-22,90.7,71.57102692,116.8363122,47.91,20.56,0.74,34.98,30.2,49.7,8.8,12,good
2020-01-22,112.1,43.82230888,92.8308329,39.19,28.55,0.98,30.25,24.0,28.5,1.5,8,moderate
2020-01-23,112.8,60.01664917,77.09301155,47.87,16.26,0.85,27.37,26.1,43.0,1.8,11,poor
2020-01-23,101.4,53.82860089,129.84368,29.64,22.73,1.39,25.93,26.5,77.6,4.1,10,good
2020-01-23,80.5,78.79263952,74.70908203,29.24,14.09,1.15,25.12,15.9,53.1,4.9,14,good
2020-01-23,117.6,57.37058205,64.25927442,46.75,25.81,1.31,28.32,34.9,74.9,13.9,7,good
2020-01-23,134.5,47.32269062,68.82408362,26.62,27.2,1.04,10.11,20.4,82.6,8.8,12,moderate
2020-01-24,91.0,65.98976403,60.43468701,45.78,19.23,1.2,27.05,33.3,79.1,13.1,6,poor
2020-01-24,71.5,77.30851101,74.49757143,48.81,25.79,0.66,31.56,29.0,60.7,14.0,5,good
2020-01-24,96.2,36.83349228,86.94794973,44.6,13.62,1.4,19.53,22.7,77.1,3.2,17,moderate
2020-01-24,121.1,53.27663076,87.31519972,43.37,21.1,1.11,29.58,28.5,21.3,7.4,12,moderate
2020-01-24,92.0,68.30083475,73.75856136,46.12,21.76,1.1,25.32,28.3,65.5,11.5,7,hazardous
2020-01-25,104.5,59.49112161,73.24369812,45.69,16.69,0.77,36.84,25.6,24.5,14.2,5,moderate
2020-01-25,106.5,67.39325958,60.23994364,60.18,19.79,1.47,37.44,36.4,27.7,10.8,11,moderate
2020-01-25,90.6,65.40590093,69.86730332,45.07,23.58,1.75,46.09,29.3,66.8,4.6,9,good
2020-01-25,81.0,49.61624506,41.16864399,35.42,11.3,0.96,35.59,33.3,23.6,8.9,7,good
2020-01-25,89.1,31.9538745,73.64478212,40.47,24.83,1.15,37.25,19.6,87.4,9.4,10,good
2020-01-26,118.7,36.07866063,67.45158531,40.72,24.0,0.66,33.58,20.0,42.7,9.0,14,good
2020-01-26,152.6,30.46615286,32.30188982,50.47,18.0,0.74,16.77,21.8,21.1,8.4,14,poor
2020-01-26,102.2,54.17218837,82.33157024,46.95,22.46,0.63,32.24,25.0,75.7,7.3,9,good
2020-01-26,77.0,72.50404807,77.05614498,40.44,28.58,0.66,32.49,16.8,67.8,4.7,10,good
2020-01-26,105.3,67.5643178,84.79745505,51.12,18.03,1.36,23.42,22.1,31.1,3.7,5,good
2020-01-27,91.3,64.36447095,109.7095474,51.04,20.17,1.06,37.42,28.4,36.8,13.6,17,good
2020-01-27,71.6,66.31049447,104.577131,37.58,22.83,0.86,25.24,14.9,46.0,2.3,8,poor
2020-01-27,109.9,61.55157194,86.92234658,47.74,22.11,0.98,38.87,24.4,63.3,1.5,11,poor
2020-01-27,101.7,50.98310171,76.01874892,45.77,20.41,1.07,40.89,29.9,48.5,2.4,7,good
2020-01-27,77.0,62.85635835,101.4303187,35.63,14.36,1.03,32.34,23.7,69.1,8.7,9,good
2020-01-28,40.2,77.4887478,83.69654067,25.49,18.34,0.87,28.45,24.4,61.1,8.7,9,poor
2020-01-28,103.7,90.6311406,89.84028561,35.04,15.88,1.3,20.89,27.2,59.2,6.3,10,hazardous
2020-01-28,107.5,66.73828082,49.8693194,50.72,32.24,1.22,27.1,25.5,24.2,11.2,12,poor
2020-01-28,64.8,51.33118835,89.22156065,49.62,20.18,0.97,30.33,26.6,53.7,2.5,9,good
2020-01-28,98.7,52.39487011,39.05125628,38.73,18.19,1.2,30.02,26.3,83.8,0.0,6,good
2020-01-29,88.0,52.3528996,40.68888217,42.95,12.98,0.94,28.14,22.3,27.5,2.3,14,good
2020-01-29,82.8,64.16037693,121.2844027,38.73,22.93,0.87,27.54,33.6,36.3,13.8,9,moderate
2020-01-29,96.3,34.9985489,86.65520957,31.75,23.77,0.79,26.65,28.9,34.4,3.2,15,good
2020-01-29,69.5,73.21720081,85.01256464,30.14,21.33,1.36,21.4,21.0,31.8,8.8,12,good
2020-01-29,142.0,52.2914906,75.58542486,46.42,23.83,0.94,29.51,26.2,40.2,9.0,13,moderate
2020-01-30,95.1,42.01572903,53.34643118,36.17,27.16,0.66,39.41,17.2,77.3,13.7,5,moderate
2020-01-30,125.3,60.01988533,96.17142014,32.26,17.02,1.55,29.98,30.5,60.4,5.0,7,good
2020-01-30,114.0,59.66581531,83.16189752,34.49,18.65,1.27,39.95,26.0,65.3,13.1,13,hazardous
2020-01-30,94.2,60.51661518,68.25769459,33.21,24.75,1.17,22.32,31.5,74.9,13.0,13,hazardous
2020-01-30,67.4,37.5786578,91.19656898,27.99,19.21,1.09,41.1,25.5,62.7,4.1,9,good
2020-01-31,88.0,22.6750897,47.32154082,39.88,22.16,0.71,36.77,25.7,33.9,14.4,11,hazardous
2020-01-31,88.5,64.83123466,96.39479435,25.81,25.8,1.22,32.62,26.0,81.9,8.9,11,good
2020-01-31,92.8,86.77162559,46.95514645,30.77,23.99,1.39,41.7,30.3,40.0,7.6,7,moderate
2020-01-31,124.1,62.04896093,84.75285313,52.74,29.34,1.34,45.3,15.6,67.2,9.3,5,good
2020-01-31,89.0,65.93131478,74.71288334,29.92,15.87,1.42,53.44,25.1,50.5,13.7,7,good
2020-02-01,137.0,50.12627381,71.50337305,37.6,14.13,0.5,16.07,20.6,22.0,8.5,13,good
2020-02-01,151.2,45.63646567,64.51592363,40.85,23.8,1.26,44.77,21.5,86.3,9.2,7,moderate
2020-02-01,87.0,60.20175547,99.33913291,37.31,24.61,1.3,28.08,25.5,85.8,0.0,7,hazardous
2020-02-01,102.4,59.83361994,76.09054713,31.43,26.81,0.91,32.72,25.9,39.4,8.6,9,moderate
2020-02-01,115.5,60.38077917,55.78514747,14.47,19.98,1.14,30.07,25.5,24.9,11.1,12,good
2020-02-02,151.2,47.80478442,85.94454443,41.98,17.07,1.42,20.55,17.9,78.2,1.7,10,moderate
2020-02-02,114.9,56.62720416,90.89249149,39.24,24.62,0.93,36.39,24.5,84.0,3.3,10,moderate
2020-02-02,99.7,66.80263069,90.04999392,44.89,19.38,1.17,37.77,29.6,83.8,10.2,11,poor
2020-02-02,88.7,51.16001653,67.94751391,29.12,18.88,0.7,30.42,34.0,85.5,10.1,8,good
2020-02-02,109.3,49.25139767,61.23065789,35.98,23.5,0.9,23.98,26.7,77.7,11.1,15,good
2020-02-03,103.7,53.12042046,80.03566082,33.16,19.6,0.88,31.28,27.9,59.6,0.1,10,good
2020-02-03,98.1,72.34919874,113.3451368,43.25,20.38,0.89,21.65,17.8,66.4,3.0,11,hazardous
2020-02-03,96.4,46.06811878,88.98867032,23.38,22.76,1.08,32.91,22.0,23.0,13.8,6,moderate
2020-02-03,78.8,45.26558949,62.18502273,28.2,19.61,1.52,18.77,18.7,82.4,12.9,5,poor
2020-02-03,130.4,72.14391654,69.07184761,10.06,16.23,1.15,36.48,14.0,80.3,7.2,16,moderate
2020-02-04,81.0,67.96341471,74.35518816,31.69,22.52,0.89,27.97,34.7,24.4,6.8,11,moderate
2020-02-04,130.8,72.8505372,58.81576583,32.94,21.4,1.06,22.16,6.7,65.1,7.5,16,good
2020-02-04,123.0,63.38642285,37.52014364,41.49,20.92,1.45,37.53,21.0,22.4,3.8,14,good
2020-02-04,87.0,104.0348685,98.42051679,48.6,14.3,1.37,30.06,21.0,73.9,0.3,17,moderate
2020-02-04,116.5,60.88476332,51.46346846,39.71,26.53,0.7,37.7,31.4,35.3,5.6,9,good
2020-02-05,75.6,66.70308751,81.38674323,43.95,16.43,1.37,27.17,30.0,74.6,14.9,11,moderate
2020-02-05,140.1,85.16065632,69.99477967,37.39,21.33,0.81,23.59,22.6,29.6,6.5,9,moderate
2020-02-05,134.9,72.87208606,101.0154858,35.09,21.38,1.12,34.79,26.6,62.2,11.8,13,good
2020-02-05,126.4,43.90007952,70.40562206,12.33,28.5,1.25,31.63,26.6,31.9,5.9,17,moderate
2020-02-05,85.9,60.26419878,88.27232515,36.98,23.1,1.13,25.29,30.1,46.3,7.3,13,good
2020-02-06,118.6,58.15295347,56.74122026,53.85,19.72,1.42,27.93,28.4,61.6,2.9,7,moderate
2020-02-06,104.2,54.86176199,97.25086969,40.33,18.69,1.01,20.15,31.9,23.4,10.2,14,good
2020-02-06,99.3,45.36950959,122.7117346,49.33,20.07,1.0,26.04,23.3,55.5,11.0,11,poor
2020-02-06,128.4,53.56728112,71.34724967,67.15,29.02,0.56,24.5,16.3,35.1,11.8,8,good
2020-02-06,141.2,47.92242372,69.67766716,25.13,12.85,1.17,32.9,18.1,35.6,10.6,9,good
2020-02-07,88.0,66.23755254,123.7146123,55.02,18.83,1.07,27.55,28.9,52.2,12.6,5,poor
2020-02-07,135.4,79.55261898,85.64068438,40.64,20.95,0.73,37.71,22.4,71.2,6.9,8,moderate
2020-02-07,95.3,69.03870402,72.85169904,43.97,17.49,0.38,42.51,19.2,20.9,2.3,10,hazardous
2020-02-07,124.2,76.15272217,122.4911246,40.87,26.43,1.22,25.8,21.0,83.1,5.7,9,good
2020-02-07,60.8,62.55695656,46.10053123,53.47,8.32,0.6,34.63,24.2,40.0,6.4,10,good
2020-02-08,120.5,27.45483873,24.5237012,52.47,20.61,1.16,37.23,24.3,68.9,14.6,10,good
2020-02-08,62.7,69.00319449,75.06857891,37.39,18.15,0.95,25.35,19.7,60.3,7.2,9,good
2020-02-08,87.5,69.97054118,113.0114593,47.03,18.78,0.97,21.6,22.3,40.1,1.9,9,moderate
2020-02-08,73.4,45.55901152,96.40464797,47.74,28.67,0.66,37.43,22.5,63.7,10.2,15,good
2020-02-08,122.7,53.31524545,99.06018996,31.67,16.81,1.24,24.4,28.5,44.0,10.0,10,moderate
2020-02-09,120.2,74.36898083,94.70264226,40.09,23.06,1.33,37.21,14.7,42.8,3.5,8,good
2020-02-09,77.9,90.80728035,74.00245051,50.66,21.41,0.54,33.84,30.4,87.8,6.1,3,good
2020-02-09,136.2,51.70618744,67.41575701,22.26,20.58,0.94,32.15,24.3,88.8,6.6,11,moderate
2020-02-09,111.9,42.08715898,76.40760557,41.35,18.99,1.31,42.56,26.8,33.3,10.1,10,moderate
2020-02-09,103.9,56.9008308,96.34612407,39.93,14.65,1.0,26.5,25.4,73.4,7.8,4,hazardous
2020-02-10,114.2,75.02737281,79.35905012,0.78,26.49,0.62,30.34,33.5,67.9,2.4,6,moderate
2020-02-10,86.3,87.11412762,80.12763082,43.03,22.75,1.31,29.24,34.1,60.3,9.0,4,good
2020-02-10,115.6,45.61832316,114.5138759,55.41,22.15,0.73,32.66,26.3,59.9,9.9,8,poor
2020-02-10,114.8,69.15324254,99.08170204,42.17,21.63,0.88,35.76,24.6,20.7,1.7,8,hazardous
2020-02-10,83.5,47.81181345,89.208313,40.18,23.14,1.37,26.09,26.3,58.9,10.6,7,good
2020-02-11,115.8,67.59236483,43.0348294,34.11,18.99,1.4,19.62,20.7,31.9,4.0,11,poor
2020-02-11,89.0,39.71236966,82.43688928,53.34,21.18,1.28,30.81,30.4,85.4,13.8,11,hazardous
2020-02-11,103.4,62.35459441,104.3696043,42.96,19.49,0.61,11.72,21.7,42.8,11.9,11,poor
2020-02-11,87.8,91.57946144,77.20915914,40.38,19.36,0.81,27.75,25.0,85.3,3.8,11,hazardous
2020-02-11,88.8,52.53643742,80.67049405,42.84,23.23,0.93,29.98,24.2,46.1,11.3,12,good
2020-02-12,60.6,44.159538,39.10741992,41.93,13.75,0.66,24.21,21.4,21.6,3.8,9,good
2020-02-12,89.4,60.52331921,85.13566515,27.97,21.44,0.63,26.7,20.5,67.3,4.9,9,hazardous
2020-02-12,83.6,36.24617415,95.06834947,47.78,23.84,0.79,16.55,28.2,44.2,14.9,12,good
2020-02-12,112.6,48.26994761,35.64817841,25.75,23.51,0.76,25.85,21.1,26.8,2.5,6,good
2020-02-12,97.7,51.20203096,124.0402785,44.03,19.51,0.49,19.44,22.2,35.0,8.5,13,poor
2020-02-13,117.9,56.14582312,68.4203156,38.56,21.53,0.76,4.41,30.7,60.0,12.1,5,good
2020-02-13,99.9,66.19498368,81.9965263,40.75,22.69,0.72,35.98,27.9,33.0,3.0,5,hazardous
2020-02-13,78.9,39.36733666,75.43054912,30.1,19.81,1.21,35.91,23.9,22.0,13.5,11,moderate
2020-02-13,94.0,63.36324606,72.87815903,21.74,24.05,0.75,40.34,23.2,89.9,11.9,11,poor
2020-02-13,119.5,48.60445324,56.63644344,37.88,23.62,1.18,25.36,25.1,32.7,7.2,8,moderate
2020-02-14,96.6,56.78898453,66.65333238,40.23,23.59,1.16,20.85,26.0,85.9,12.2,11,hazardous
2020-02-14,75.8,64.61748559,101.122025,39.06,22.76,1.33,26.04,34.3,56.2,2.3,15,good
2020-02-14,70.4,70.71914686,82.1914316,36.98,28.36,1.06,28.21,19.1,67.0,2.3,10,moderate
2020-02-14,124.5,80.52119026,93.34130945,31.75,20.49,1.11,37.35,22.4,25.4,6.3,16,good
2020-02-14,112.4,33.4339717,58.06249841,36.98,19.23,1.39,21.37,33.8,54.1,10.4,10,poor
2020-02-15,94.8,61.88852083,49.09887185,40.46,19.0,0.7,34.46,27.9,70.6,8.9,7,poor
2020-02-15,85.6,29.25088082,71.67123134,25.16,21.26,1.0,15.1,28.4,48.4,8.1,8,good
2020-02-15,90.9,65.69108096,35.16168131,47.64,26.75,1.36,26.66,31.4,52.3,2.4,14,good
2020-02-15,68.6,67.07313571,96.44132156,55.87,21.59,0.63,33.86,22.5,54.6,3.4,4,good
2020-02-15,114.6,91.02339062,95.76583313,41.81,23.63,0.82,30.3,17.3,68.3,0.1,13,good
2020-02-16,113.9,70.35709029,84.10911374,36.08,24.42,1.15,37.68,23.4,49.2,6.9,6,good
2020-02-16,107.1,72.76686148,72.73375983,40.78,20.09,0.62,29.14,20.8,58.8,1.6,10,good
2020-02-16,85.5,32.53282682,97.44306211,44.0,14.57,1.51,24.65,19.1,73.7,1.1,9,poor
2020-02-16,100.3,39.03291782,98.28154328,26.86,21.75,0.54,28.91,20.2,65.5,5.1,9,moderate
2020-02-16,90.8,77.38611097,80.0395369,52.78,23.28,0.85,24.41,24.7,25.3,11.5,7,good
2020-02-17,88.6,78.35783878,85.93145353,55.44,33.49,0.94,31.12,27.8,28.9,2.7,11,good
2020-02-17,95.0,41.57334253,86.48072885,41.66,26.34,0.96,37.75,22.5,70.8,8.4,14,moderate
2020-02-17,80.9,78.03864758,60.25907642,40.4,18.64,1.16,45.84,20.6,82.8,7.4,9,good
2020-02-17,119.1,63.9842549,64.48786791,21.17,19.2,1.01,38.24,23.5,38.7,1.5,9,moderate
2020-02-17,121.1,54.95617892,110.6574671,39.39,21.64,1.06,22.61,23.5,61.9,14.8,10,good
2020-02-18,106.9,66.382349,53.09971032,38.07,25.09,1.31,28.67,19.4,64.9,13.3,7,good
2020-02-18,91.9,62.69871554,112.3174498,41.63,24.97,0.84,34.6,29.7,52.2,10.6,4,good
2020-02-18,63.6,65.06933331,90.67390496,43.85,21.56,0.64,37.18,20.8,63.0,0.5,10,good
2020-02-18,98.5,28.86617986,96.48205794,48.37,6.09,0.71,28.2,25.6,34.1,0.8,13,good
2020-02-18,101.8,69.86644764,63.99329188,44.92,14.39,1.09,26.27,15.5,82.4,9.4,6,moderate
2020-02-19,105.4,51.11638733,109.8590525,12.92,23.23,0.68,37.43,23.7,76.7,6.4,8,poor
2020-02-19,64.7,77.95870385,62.77900656,48.97,17.69,1.12,27.03,19.2,77.1,13.0,11,moderate
